Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
BMH2,YDR099W,P34730,"14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; abundance relative to Bmh1p increases during sporulation",1.13,2.85,45.93,,,,X,0,0.17,0.09,,,,,,,,17%
BNA3,YJL060W,P47039,Kynurenine aminotransferase; catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate,11.38,19.92,0.83,X,,,,0.98,0,0,,,,X,,,,98%
BNA4,YBL098W,P38169,Kynurenine 3-mono oxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; putative therapeutic target for Huntington disease,0.37,0.2,0.09,,,X,,0,0,0.97,X,,,,,,,97%
CAB5,YDR196C,Q03941,"Subunit of the CoA-Synthesizing Protein Complex (CoA-SPC); subunits of this complex are: Cab2p, Cab3p, Cab4p, Cab5p, Sis2p and Vhs3p; probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies; also localized to lipid droplets",0.37,2.75,0.78,,,X,,0,0.31,0.53,X,,,,,,,53%
CAF4,YKR036C,P36130,"WD40 repeat-containing protein associated with the CCR4-NOT complex; interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission; CAF4 has a paralog, MDV1, that arose from the whole genome duplication",0.81,2.45,0.38,,,,X,0,0.12,0.4,X,,,,,,,40%
CAJ1,YER048C,P39101,"Nuclear type II J heat shock protein of the E. coli dnaJ family; contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly",0.92,12.57,19.29,,X,,,0,0.97,0,,X,,,,,,97%
CAM1,YPL048W,P29547,One of two isoforms of the gamma subunit of eEF1B; stimulates the release of GDP from eEF1A (Tef1p/Tef2p) post association with the ribosomal complex with eEF1Balpha subunit; nuclear protein required for transcription of MXR1; binds the MXR1 promoter in the presence of other nuclear factors; binds calcium and phospholipids,0.59,2.08,28.06,,,X,,0,0.05,0.72,,X,,,,,,72%
CAR2,YLR438W,P07991,"L-ornithine transaminase (OTAse); catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive; protein abundance increases in response to DNA replication stress",1.68,3.62,41.73,,,,X,0,0.21,0.01,,,,,,,,21%
CAT2,YML042W,P32796,Carnitine acetyl-CoA transferase; present in both mitochondria and peroxisomes; transfers activated acetyl groups to carnitine to form acetylcarnitine which can be shuttled across membranes,13.59,22.97,0.66,X,,,,0.98,0,0,,,,X,,,,98%
CAT5,YOR125C,P41735,Protein required for ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes; required for gluconeogenic gene activation,1.96,9.53,0.51,,X,,,0.04,0.88,0,,X,,,,,,88%
CBP1,YJL209W,P07252,"Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress",0.64,3.52,0.33,,X,,,0,0.59,0.2,,X,,,,,,59%
CBP2,YHL038C,P03874,Required for splicing of the group I intron bI5 of the COB pre-mRNA; nuclear-encoded mitochondrial protein that binds to the RNA to promote splicing; also involved in but not essential for splicing of the COB bI2 intron and the intron in the 21S rRNA gene,0.97,7.25,0.09,,X,,,0,0.95,0,,X,,,,,,95%
CBP3,YPL215W,P21560,"Mitochondrial protein required for assembly of cytochrome bc1 complex; forms a complex with Cbp6p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex; Cbp3p-Cbp6p complex is sequestered if assembly of Complex III is blocked, downregulating COB mRNA translation",0.31,5.26,0.38,,X,,,0,0.88,0.05,,X,,,,,,88%
CBP4,YGR174C,P37267,Mitochondrial protein required for assembly of cytochrome bc1 complex; interacts with the Cbp3p-Cbp6p complex and newly synthesized cytochrome b (Cobp) to promote assembly of Cobp into the cytochrome bc1 complex,0.27,0.09,0.56,,,X,,0,0,0.96,,X,,,,,,96%
CBP6,YBR120C,P07253,"Mitochondrial protein required for translation of the COB mRNA; forms a complex with Cbp3p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex; Cbp3p-Cbp6p complex is sequestered if assembly of Complex III is blocked, downregulating COB mRNA translation",1.17,2.03,0.52,,,,X,0,0.02,0.14,,,,,,,,14%
CBR1,YIL043C,P38626,Microsomal cytochrome b reductase; not essential for viability; also detected in mitochondria; mutation in conserved NADH binding domain of the human ortholog results in type I methemoglobinemia,0.46,0.41,1.16,,,X,,0,0,0.96,X,,,,,,,96%
CBS2,YDR197W,P14905,"Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader",0.98,9.1,0,,X,,,0,0.97,0,,X,,,,,,97%
CBT1,YKL208W,P36038,"Protein involved in 5' RNA end processing; substrates include mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p",0.22,2.84,0.12,,,X,,0,0.49,0.3,,X,,,,,,49%
CCA1,YER168C,P21269,"ATP (CTP):tRNA-specific tRNA nucleotidyltransferase; different forms targeted to the nucleus, cytosol, and mitochondrion are generated via the use of multiple transcriptional and translational start sites",0.98,0.07,0.29,,,X,,0,0,0.26,,X,,,,,,26%
CCE1,YKL011C,Q03702,"Mitochondrial cruciform cutting endonuclease; cleaves Holliday junctions formed during recombination of mitochondrial DNA; CCE1 has a paralog, MRS1, that arose from the whole genome duplication",1.26,8.92,0.04,,X,,,0,0.95,0,,X,,,,,,95%
CCM1,YGR150C,P48237,Mitochondrial 15S rRNA-binding protein; required for intron removal of COB and COX1 pre-mRNAs; has separable roles in stabilizing mitochondrial 15S rRNA and in maturation of the COB and COX1 mRNAs; contains pentatricopeptide repeat (PPR) motifs; mutant is respiratory deficient and has defective plasma membrane electron transport,0.4,6.06,0.18,,X,,,0,0.92,0.03,,X,,,,,,92%
CCP1,YKR066C,P00431,"Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress",8.13,16.34,0.94,X,,,,0.98,0.01,0,,,X,,,,,98%
CCS1,YMR038C,P40202,Copper chaperone for superoxide dismutase Sod1p; involved in oxidative stress protection; Met-X-Cys-X2-Cys motif within the N-terminal portion is involved in insertion of copper into Sod1p under conditions of copper deprivation; required for regulation of yeast copper genes in response to DNA-damaging agents; protein abundance increases in response to DNA replication stress,4.01,7.45,1.31,X,,,,0.61,0.11,0,,,X,,,,,61%
CDC19,YAL038W,P00549,"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication",0.85,2.98,40,,,,X,0,0.32,0.23,,,,,,,,32%
CDC20,YGL116W,P26309,"Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress",0.98,3.73,##,,,,X,0,0.58,0.06,,,,,,,,58%
CDC42,YLR229C,P19073,Small rho-like GTPase; essential for establishment and maintenance of cell polarity; plays a role late in cell fusion via activation of key cell fusion regulator Fus2p; mutants have defects in the organization of actin and septins,0.53,0.8,1.5,,,X,,0,0,0.92,X,,,,,,,92%
CDC48,YDL126C,P25694,"AAA ATPase; subunit of polyubiquitin-selective segregase complex involved in ERAD, cell wall integrity during heat stress, mitotic spindle disassembly; subunit of complex involved in mitochondria-associated degradation; role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing, in macroautophagy, PMN, RAD, ribophagy, homotypic ER membrane fusion, disassembly of Met30p from SCF complex; functional ortholog of human p97/VCP",0.55,4.15,97.87,,X,,,0,0.77,0.12,X,,,,,,,77%
CDC9,YDL164C,P04819,"DNA ligase found in the nucleus and mitochondria; an essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair, base excision repair, and recombination,",0.62,18.39,0.48,,X,,,0,0.95,0,,X,,,,,,95%
CDS1,YBR029C,P38221,"Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids",0.76,20.00**,1.35,,X,,,0,0,0,,X,,,,,,0%
CEM1,YER061C,P39525,Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration,8.04,9.34,0.38,X,,,,0.94,0,0,,,,X,,,,94%
CHO1,YER026C,P08456,"Phosphatidylserine synthase; functions in phospholipid biosynthesis; catalyzes the reaction CDP-diaclyglycerol + L-serine = CMP + L-1-phosphatidylserine, transcriptionally repressed by myo-inositol and choline",0.39,0.32,0,,,X,,0,0,0.97,,X,,,,,,97%
CIR1,YGR207C,P42940,Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-beta; may have a role in oxidative stress response,8.67,22.76,0.41,X,,,,0.97,0.01,0,,,,X,,,,97%
CIR2,YOR356W,Q08822,Putative ortholog of human ETF-dH; found in a large supramolecular complex with other mitochondrial dehydrogenases; may have a role in oxidative stress response; ETF-dH is also known as electron transfer flavoprotein dehydrogenase,0.56,12.68,0.26,,X,,,0,0.97,0,,X,,,,,,97%
CIT1,YNR001C,P00890,"Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication",20.12,27.89,0.31,X,,,,0.96,0,0,,,,X,,,,96%
CIT2,YCR005C,P08679,"Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate, peroxisomal isozyme involved in glyoxylate cycle; expression is controlled by Rtg1p and Rtg2p transcription factors; CIT2 has a paralog, CIT1, that arose from the whole genome duplication",13.92,19.8,0.33,X,,,,0.98,0,0,,,,X,,,,98%
CIT3,YPR001W,P43635,Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate,14.22,25.76,0.44,X,,,,0.98,0,0,,,,X,,,,98%
CLD1,YGR110W,P53264,Mitochondrial cardiolipin-specific phospholipase; functions upstream of Taz1p to generate monolyso-cardiolipin; transcription increases upon genotoxic stress; involved in restricting Ty1 transposition; has homology to mammalian CGI-58,0.57,2.57,0.1,,,X,,0,0.19,0.57,,X,,,,,,57%
CMC1,YKL137W,P36064,Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif,6.68,30.85,0.22,X,,,,0.84,0.12,0,,,X,,,,,84%
CMC2,YBL059C-A,Q3E7A4,Protein involved in respiratory chain complex assembly or maintenance; protein of the mitochondrial intermembrane space; contains twin Cx9C motifs that can form coiled coil-helix-coiled-coil helix fold,10.52,9.45,0.41,X,,,,0.95,0,0,,,X,,,,,95%
CMC4,YMR194C-B,Q3E7A9,Protein that localizes to the mitochondrial intermembrane space; localizes via the Mia40p-Erv1p system; contains twin cysteine-x(9)-cysteine motifs,11.07,8.55,0.28,X,,,,0.92,0,0,,,X,,,,,92%
CMD1,YBR109C,P06787,"Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin",5.36,5.13,7.21,X,,,,0.24,0.01,0,,,,X,,,,24%
COA1,YIL157C,P40452,Mitochondrial inner membrane protein; required for assembly of the cytochrome c oxidase complex (complex IV); interacts with complex IV assembly factor Shy1p during the early stages of assembly,0.35,1.75,0.22,,,X,,0,0.02,0.86,,X,,,,,,86%
COA3,YJL062W-A,Q3E7B2,Mitochondrial protein required for cytochrome c oxidase assembly; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; located in the mitochondrial inner membrane,0.27,1.86,0,,,X,,0,0.06,0.79,,X,,,,,,79%
COA4,YLR218C,Q05809,Twin Cx(9)C protein involved in cytochrome c oxidase organization; organization includes assembly or stability; localizes to the mitochondrial intermembrane space via the Mia40p-Erv1p system; interacts genetically with CYC1 and with cytochrome c oxidase assembly factors,17.48,1.53,0.69,,,,X,0,0,0,,,X,,,,,0%
COA6,YMR244C-A,Q3E846,Protein involved in cytochrome c oxidase (Complex IV) assembly; involved in delivery of copper to Complex IV; also required for efficient formation of respiratory supercomplexes comprised of Complexes III and IV; localizes to the mitochondrial intermembrane space; ortholog implicated in cardiac defects in zebrafish and human; transcription is induced in response to the DNA-damaging agent MMS; protein abundance increases in response to DNA replication stress,22.04,22.18,0.39,X,,,,0.97,0,0,,,X,,,,,97%
COF1,YLL050C,Q03048,"Cofilin, involved in pH-dependent actin filament depolarization; binds both actin monomers and filaments and severs filaments; involved in the selective sorting, export of the secretory cargo from the late golgi; genetically interacts with pmr1; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes",1.36,4.25,19.38,,,,X,0,0.55,0.01,,,,,,,,55%
COQ1,YBR003W,P18900,Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis,0.46,7.86,0.29,,X,,,0,0.95,0.01,,X,,,,,,95%
COQ10,YOL008W,Q08058,Coenzyme Q (ubiquinone) binding protein; functions in the delivery of Q<sub>6</sub> to its proper location for electron transport during respiration; START domain protein with homologs in bacteria and eukaryotes,0.29,6.75,0,,X,,,0,0.92,0.02,,X,,,,,,92%
COQ2,YNR041C,P32378,"Para hydroxybenzoate polyprenyl transferase; catalyzes the second step in ubiquinone (coenzyme Q) biosynthesis; human COQ2, mutations in which are implicated in an increased risk of mutiple-system atrophy, is able to complement a yeast coq2 null mutant",0.19,0.13,0.23,,,X,,0,0,0.94,,X,,,,,,94%
COQ3,YOL096C,P27680,O-methyltransferase; catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein,1.36,9.63,0.5,,X,,,0,0.95,0,,X,,,,,,95%
COQ4,YDR204W,O13525,Protein with a role in ubiquinone (Coenzyme Q) biosynthesis; possibly functioning in stabilization of Coq7p; located on the matrix face of the mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex,1.55,8.85,0,,X,,,0.01,0.93,0,,X,,,,,,93%
COQ5,YML110C,P49017,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes",2.53,13.42,0.21,,X,,,0.19,0.76,0,,X,,,,,,76%
COQ6,YGR255C,P53318,Putative flavin-dependent monooxygenase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; human COX6 can rescue a yeast cox6 mutant and is implicated in steroid-resistant nephrotic syndrome (SRNS),2.06,12.63,0.31,,X,,,0.06,0.89,0,,X,,,,,,89%
